Fundació	PROPN	80
fer	VERB	1385
Privada	PROPN	5
Fira	PROPN	49
de	ADP	32714
Manresa	PROPN	106
haver	AUX	6746
un	NUM	280
balanç	NOUN	18
activitat	NOUN	213
el	DET	45934
del	ADP	8366
Palau	PROPN	58
Firal	PROPN	7
durant	ADP	486
mes	NOUN	408
primer	ADJ	630
cinc	NUM	134
any	NOUN	1542
.	PUNCT	14676
en	ADP	6294
temps	NOUN	209
aquest	DET	2857
acollir	VERB	54
,	PUNCT	23765
13	NUM	58
a	ADP	11127
divers	ADJ	26
banda	NOUN	218
certamen	NOUN	26
firal	ADJ	9
format	NOUN	17
gran	ADJ	373
obrir	VERB	110
algun	PRON	126
qual	PRON	474
no	ADV	2518
es	PRON	3452
al	ADP	3817
públic	NOUN	65
això	PRON	310
suposar	VERB	141
un	DET	7780
utilització	NOUN	22
recinte	NOUN	32
40	NUM	44
per	ADP	5796
cent	NUM	177
dia	NOUN	503
segons	ADP	610
constatar	VERB	11
estadística	NOUN	8
que	SCONJ	6036
equipament	NOUN	45
ser	AUX	4690
'	SYM	3337
viu	ADJ	8
responsable	NOUN	114
afirmar	VERB	169
gestió	NOUN	97
contrastar	VERB	2
dada	NOUN	147
amb	ADP	3655
percepció	NOUN	5
ciutadà	NOUN	111
molt	DET	166
romandre	VERB	10
edifici	NOUN	99
inactiu	ADJ	2
part	NOUN	362
bo	ADJ	148
més	ADV	1972
utilitzar	VERB	96
exemple	NOUN	99
empresa	NOUN	366
i	CCONJ	11413
entitat	NOUN	173
hi	PRON	1175
prova	NOUN	58
assaig	NOUN	23
un	PRON	860
ser	VERB	95
cas	NOUN	355
Armats	PROPN	1
que	PRON	6414
anar	AUX	6158
11	NUM	64
Casa	PROPN	28
d'	ADP	837
Andalusia	PROPN	23
també	ADV	899
17	NUM	63
assajar	VERB	7
pas	NOUN	120
verge	NOUN	1
Macarena	PROPN	1
processó	NOUN	1
Setmana	PROPN	33
Santa	PROPN	96
logística	NOUN	2
servir	VERB	124
posar	VERB	266
escenari	NOUN	44
Alejandro	PROPN	7
Sanz	PROPN	8
gira	NOUN	24
seu	DET	2590
alhora	ADV	36
com	SCONJ	1649
espai	NOUN	208
Medieval	PROPN	4
espectacle	NOUN	68
presentar	VERB	387
Espectacles	PROPN	2
Arrel	PROPN	2
Tradicional	PROPN	8
àrea	NOUN	73
servei	NOUN	267
incloure	VERB	168
sala	NOUN	67
acte	NOUN	217
aula	NOUN	9
finalitat	NOUN	50
divers	DET	201
així	ADV	329
reunió	NOUN	98
institució	NOUN	89
Jove	PROPN	6
Cambra	PROPN	42
Centre	PROPN	60
Comissions	PROPN	6
Obreres	PROPN	4
Col·legi	PROPN	26
Interventors	PROPN	1
Secretaris	PROPN	1
o	CCONJ	738
Formació	PROPN	5
Pràctica	PROPN	1
port	NOUN	47
rebre	VERB	185
Tarragona	PROPN	172
tot	DET	803
juny	NOUN	163
fins	ADV	210
creuer	NOUN	14
luxe	NOUN	11
passatger	NOUN	21
vora	ADV	1
1000	NUM	23
escala	NOUN	22
tractar	VERB	176
habitual	ADJ	42
mena	NOUN	42
comercial	ADJ	77
acció	NOUN	123
puntual	ADJ	8
endegat	ADJ	2
pel	ADP	925
departament	NOUN	64
Autoritat	PROPN	16
Portuària	PROPN	8
companyia	NOUN	125
navilier	ADJ	1
arreu	ADV	35
món	NOUN	185
divendres	NOUN	81
