|	PUNCT	82
rada	NOUN	561
na	ADP	19533
telefon	NOUN	349
potřebovat	VERB	310
rychle	ADV	221
poradit	VERB	63
?	PUNCT	1981
zvednout	VERB	26
a	CCONJ	28444
zavolat	VERB	21
.	PUNCT	74950
tvůj	DET	222
dotaz	NOUN	95
obecně	ADV	89
platný	ADJ	101
zodpovědět	VERB	11
být	AUX	36186
připravený	ADJ	205
spolupracovník	NOUN	81
profit	NOUN	116
v	ADP	32167
případ	NOUN	1242
vytočit	VERB	4
,	PUNCT	76239
dovolat	VERB	8
že	SCONJ	10390
se	PRON	22789
přes	ADP	534
den	NOUN	1053
číslo	NOUN	467
hodina	NOUN	527
večerní	ADJ	32
nebo	CCONJ	1904
noční	ADJ	72
namluvit	VERB	3
svůj	DET	4312
záznamník	NOUN	10
telefonní	ADJ	104
zajímavý	ADJ	220
najít	VERB	348
zodpovězený	ADJ	10
pravidelně	ADV	57
stránka	NOUN	142
tento	DET	5506
údaj	NOUN	302
smlouva	NOUN	668
chtít	VERB	1340
uzavřít	VERB	148
pojištění	NOUN	106
dostat	VERB	758
proto	CCONJ	832
k	ADP	6332
vyplnění	NOUN	4
dotazník	NOUN	8
uvedený	ADJ	257
tady	ADV	506
mnoho	DET	422
otázka	NOUN	768
charakter	NOUN	94
který	DET	9510
podle	ADP	3189
názor	NOUN	542
můj	DET	2317
osobní	ADJ	268
dotazovaný	ADJ	11
například	ADV	1151
stav	NOUN	449
zdravotní	ADJ	177
nemoc	NOUN	97
léčit	VERB	24
pro	ADP	5115
doba	NOUN	1504
současný	ADJ	664
být	VERB	4574
dokonce	ADV	440
zde	ADV	422
podrobit	VERB	26
zda	SCONJ	582
test	NOUN	80
AIDS	NOUN	60
výsledek	NOUN	708
s	ADP	9858
jaký	DET	639
moci	VERB	3747
po	ADP	3401
já	PRON	2933
vyžadovat	VERB	115
takový	DET	887
pojišťovna	NOUN	185
P	PROPN	127
L	PROPN	77
Ostrava	PROPN	295
kdo	PRON	699
povinný	ADJ	125
pojistný	ADJ	24
odpovědět	VERB	136
pravdivě	ADV	1
úplně	ADV	119
všechen	DET	2243
písemný	ADJ	51
týkající	ADJ	70
sjednávaný	ADJ	5
-	PUNCT	10129
li	PART	648
tělesný	ADJ	42
poškození	NOUN	38
smrt	NOUN	234
dožití	NOUN	7
určitý	ADJ	499
věk	NOUN	200
jiný	ADJ	1461
událost	NOUN	163
u	ADP	2150
osoba	NOUN	526
ten	DET	11708
dát	VERB	795
pojistit	VERB	15
uvést	VERB	767
jeho	DET	5199
JUDr	NOUN	45
Oldřich	PROPN	47
PhDr	NOUN	24
Choděra	PROPN	7
kontakt	NOUN	311
:	PUNCT	5513
kancelář	NOUN	282
advokátní	ADJ	19
právní	ADJ	321
komerčně	ADV	14
národní	ADJ	668
Praha	PROPN	2321
25	NUM	268
1	NUM	1247
+	SYM	81
fax	NOUN	264
02	NUM	232
(	PUNCT	7267
)	PUNCT	7380
242	NUM	10
27	NUM	127
845	NUM	2
obrázek	NOUN	133
3	NUM	749
výrobce	NOUN	298
typ	NOUN	275
Panasonic	PROPN	3
Panafax	PROPN	1
UF	PROPN	1
311	NUM	8
způsob	NOUN	610
tisk	NOUN	195
inkjet	NOUN	1
přenosový	ADJ	19
rychlost	NOUN	161
12	NUM	265
A	PROPN	158
4	NUM	634
/	PUNCT	634
s`sekunda	NOUN	40
samoopravný	ADJ	10
režim	NOUN	168
ECM	NOUN	11
ano	PART	120
rozměr	NOUN	65
mm`milimetr	NOUN	32
452	NUM	1
x	SYM	115
380	NUM	7
230	NUM	10
cena	NOUN	1411
58076	NUM	1
Kč	NOUN	608
popis	NOUN	72
kvalitní	ADJ	163
papír	NOUN	224
normální	ADJ	105
zásobník	NOUN	12
arch	NOUN	5
100	NUM	227
paměť	NOUN	87
strana	NOUN	1865
možnost	NOUN	723
volitelný	ADJ	6
rozšíření	NOUN	94
30	NUM	369
60	NUM	186
120	NUM	67
opakovaný	ADJ	46
vysílání	NOUN	116
z	ADP	10425
automaticky	ADV	47
až	PART	1232
53	NUM	33
adresát	NOUN	22
automatický	ADJ	59
přepínání	NOUN	4
připojení	NOUN	28
odložený	ADJ	37
opakování	NOUN	27
volba	NOUN	602
zkrácený	ADJ	18
jeden	NUM	2229
tlačítko	NOUN	9
16	NUM	194
kódovaný	ADJ	6
34	NUM	71
32	NUM	58
stupeň	NOUN	210
šeď	NOUN	16
tři	NUM	1092
rozlišení	NOUN	22
jemný	ADJ	36
velmi	ADV	739
pouze	ADV	981
příjem	NOUN	251
záhlaví	NOUN	15
žurnál	NOUN	11
přenos	NOUN	74
varianta	NOUN	104
redukce	NOUN	24
nastavitelný	ADJ	2
předem	ADV	113
rozměrový	ADJ	1
docházející	ADJ	1
formát	NOUN	20
tak	ADV	2069
vejít	VERB	30
aby	SCONJ	2021
vždy	ADV	364
používaný	ADJ	37
podavač	NOUN	1
předloha	NOUN	45
shrnutí	NOUN	11
bohatý	ADJ	115
vybavení	NOUN	108
funkční	ADJ	61
ocenit	VERB	45
jakost	NOUN	52
provoz	NOUN	285
frekvence	NOUN	29
vysoký	ADJ	1198
užívání	NOUN	42
nejen	PART	440
psaný	ADJ	21
zpráva	NOUN	389
fotografie	NOUN	91
ale	CCONJ	3659
i	CCONJ	6926
představenstvo	NOUN	58
první	ADJ	1791
místopředseda	NOUN	201
akciový	ADJ	322
společnost	NOUN	1601
Tatra	PROPN	110
Kopřivnice	PROPN	29
Josef	PROPN	303
horák	NOUN	7
představitel	NOUN	354
investiční	ADJ	199
on	PRON	6433
položit	VERB	55
následující	ADJ	125
domnívat	VERB	213
odpovídat	VERB	211
dosavadní	ADJ	212
GSR	PROPN	9
navrhnout	VERB	115
takže	SCONJ	291
převedení	NOUN	14
